pygame 2.6.1 (SDL 2.28.4, Python 3.12.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
time,id,energy,x,y,heading,fruit_dist,fruit_angle,move_dist,move_dir,turn,actual_move,actual_world_angle
4.2,3,125.82,184.36,1061.31,0.8016,45.91,0.0256,10.00,0.0256,0.0026,5.00,0.8272
4.3,3,125.22,187.75,1064.99,0.8041,40.91,0.0231,10.00,0.0231,0.0023,5.00,0.8272
4.4,3,124.62,191.13,1068.67,0.8064,35.91,0.0208,10.00,0.0208,0.0021,5.00,0.8272
4.5,3,124.01,194.52,1072.35,0.8085,30.91,0.0187,10.00,0.0187,0.0019,5.00,0.8272
4.6,3,123.41,197.90,1076.03,0.8104,25.91,0.0168,10.00,0.0168,0.0017,5.00,0.8272
4.7,3,122.81,201.29,1079.71,0.8121,16.80,2.5626,10.00,2.5626,0.1200,5.00,0.8272
4.8,3,122.20,196.42,1078.56,0.9321,11.80,2.4426,10.00,2.4426,0.1200,5.00,-2.9086
4.9,3,141.98,191.56,1077.40,1.0521,6.80,2.3226,6.80,2.3226,0.1200,5.00,-2.9086
5.0,3,141.52,188.25,1076.62,1.1721,32.88,-0.5750,10.00,-0.5750,-0.0575,3.40,-2.9086
5.1,3,140.91,192.38,1079.43,1.1145,27.88,-0.5175,10.00,-0.5175,-0.0518,5.00,0.5970
5.2,3,140.30,196.52,1082.24,1.0628,22.88,-0.4658,10.00,-0.4658,-0.0466,5.00,0.5970
5.3,3,139.69,200.65,1085.05,1.0162,17.88,-0.4192,10.00,-0.4192,-0.0419,5.00,0.5970
5.4,3,139.09,204.79,1087.86,0.9743,12.88,-0.3773,10.00,-0.3773,-0.0377,5.00,0.5970
5.5,3,165.08,208.92,1090.67,0.9366,7.88,-0.3396,7.88,-0.3396,-0.0340,5.00,0.5970
5.6,3,164.58,212.18,1092.89,0.9026,-1.00,nan,7.00,2.6343,-0.1000,3.94,0.5970
5.7,3,164.11,208.95,1091.54,0.8026,-1.00,nan,7.00,2.8920,-0.1000,3.50,-2.7463
5.8,3,163.65,205.97,1089.70,0.7026,-1.00,nan,7.00,-3.1354,-0.1000,3.50,-2.5886
5.9,3,163.18,203.32,1087.42,0.6026,-1.00,nan,7.00,-2.8815,-0.1000,3.50,-2.4328
6.0,3,162.72,201.04,1084.76,0.5026,-1.00,nan,7.00,-2.6294,-0.1000,3.50,-2.2789
6.1,3,162.25,199.19,1081.79,0.4026,-1.00,nan,7.00,-2.3790,-0.1000,3.50,-2.1268
6.2,3,161.78,197.81,1078.57,0.3026,-1.00,nan,7.00,-2.1303,-0.1000,3.50,-1.9764
6.3,3,161.32,196.92,1075.19,0.2026,-1.00,nan,7.00,-1.8832,-0.1000,3.50,-1.8277
6.4,3,160.85,196.54,1071.71,0.1026,-1.00,nan,7.00,-1.6377,-0.1000,3.50,-1.6806
6.5,3,160.39,196.66,1068.21,0.0026,-1.00,nan,7.00,-1.3937,-0.1000,3.50,-1.5351
6.6,3,159.92,197.29,1064.77,-0.0974,-1.00,nan,7.00,-1.1511,-0.1000,3.50,-1.3911
6.7,3,159.46,198.40,1061.45,-0.1974,-1.00,nan,7.00,-0.9100,-0.1000,3.50,-1.2485
6.8,3,158.99,199.96,1058.32,-0.2974,-1.00,nan,7.00,-0.6703,-0.1000,3.50,-1.1074
6.9,3,158.52,201.95,1055.43,-0.3974,-1.00,nan,7.00,-0.4319,-0.1000,3.50,-0.9677
7.0,3,158.06,204.31,1052.85,-0.4974,-1.00,nan,7.00,-0.1948,-0.1000,3.50,-0.8293
7.1,3,157.59,207.01,1050.62,-0.5974,-1.00,nan,10.00,2.1682,0.1500,3.50,-0.6922
7.2,3,156.97,207.01,1055.62,-0.4474,-1.00,nan,7.00,-0.2306,-0.1000,5.00,1.5708
7.3,3,156.50,209.73,1053.42,-0.5474,-1.00,nan,7.00,0.0288,-0.1000,3.50,-0.6780
7.4,3,156.04,212.77,1051.69,-0.6474,-1.00,nan,10.00,2.2182,0.1500,3.50,-0.5186
7.5,3,155.41,212.77,1056.69,-0.4974,-1.00,nan,7.00,0.0365,-0.1000,5.00,1.5708
7.6,3,154.95,215.91,1055.13,-0.5974,-1.00,nan,7.00,0.3313,-0.1000,3.50,-0.4609
7.7,3,154.48,219.28,1054.21,-0.6974,-1.00,nan,7.00,0.6226,-0.1000,3.50,-0.2661
7.8,3,154.01,222.77,1053.95,-0.7974,-1.00,nan,7.00,0.9105,-0.1000,3.50,-0.0748
7.9,3,153.55,226.25,1054.35,-0.8974,-1.00,nan,7.00,1.1951,-0.1000,3.50,0.1131
8.0,3,153.08,229.60,1055.37,-0.9974,-1.00,nan,7.00,1.4767,-0.1000,3.50,0.2977
8.1,3,152.62,232.70,1056.99,-1.0974,-1.00,nan,7.00,1.7554,-0.1000,3.50,0.4793
8.2,3,152.15,235.47,1059.13,-1.1974,-1.00,nan,7.00,2.0312,-0.1000,3.50,0.6580
8.3,3,151.68,237.82,1061.72,-1.2974,-1.00,nan,7.00,2.3044,-0.1000,3.50,0.8338
8.4,3,151.22,239.69,1064.68,-1.3974,-1.00,nan,7.00,2.5751,-0.1000,3.50,1.0070
8.5,3,150.75,241.03,1067.91,-1.4974,-1.00,nan,7.00,2.8433,-0.1000,3.50,1.1777
8.6,3,150.29,241.82,1071.32,-1.5974,-1.00,nan,7.00,3.1092,-0.1000,3.50,1.3459
8.7,3,149.82,242.02,1074.82,-1.6974,-1.00,nan,7.00,-2.9103,-0.1000,3.50,1.5118
8.8,3,149.35,241.66,1078.30,-1.7974,-1.00,nan,7.00,-2.6488,-0.1000,3.50,1.6755
8.9,3,148.89,240.73,1081.67,-1.8974,-1.00,nan,7.00,-2.3893,-0.1000,3.50,1.8370
9.0,3,148.42,239.29,1084.86,-1.9974,-1.00,nan,7.00,-2.1319,-0.1000,3.50,1.9965
9.1,3,147.96,237.36,1087.78,-2.0974,-1.00,nan,7.00,-1.8763,-0.1000,3.50,2.1539
9.2,3,147.49,235.01,1090.37,-2.1974,-1.00,nan,7.00,-1.6226,-0.1000,3.50,2.3095
9.3,3,147.03,232.28,1092.57,-2.2974,-1.00,nan,7.00,-1.3707,-0.1000,3.50,2.4632
9.4,3,146.56,229.25,1094.33,-2.3974,-1.00,nan,7.00,-1.1205,-0.1000,3.50,2.6151
9.5,3,146.09,226.00,1095.61,-2.4974,-1.00,nan,7.00,-0.8720,-0.1000,3.50,2.7653
9.6,3,145.63,222.59,1096.40,-2.5974,185.07,-0.5153,10.00,-0.5153,-0.0515,3.50,2.9138
9.7,3,145.02,217.59,1096.26,-2.6489,180.07,-0.4638,10.00,-0.4638,-0.0464,5.00,-3.1127
9.8,3,144.41,212.59,1096.11,-2.6953,175.07,-0.4174,10.00,-0.4174,-0.0417,5.00,-3.1127
9.9,3,143.81,207.60,1095.97,-2.7371,170.07,-0.3757,10.00,-0.3757,-0.0376,5.00,-3.1127
10.0,3,143.20,202.60,1095.83,-2.7746,165.07,-0.3381,10.00,-0.3381,-0.0338,5.00,-3.1127
10.1,3,142.59,197.60,1095.68,-2.8084,160.07,-0.3043,10.00,-0.3043,-0.0304,5.00,-3.1127
10.2,3,141.99,192.60,1095.54,-2.8389,155.07,-0.2739,10.00,-0.2739,-0.0274,5.00,-3.1127
10.3,3,141.38,187.60,1095.39,-2.8662,150.07,-0.2465,10.00,-0.2465,-0.0246,5.00,-3.1127
10.4,3,140.78,182.61,1095.25,-2.8909,145.07,-0.2218,10.00,-0.2218,-0.0222,5.00,-3.1127
10.5,3,140.18,177.61,1095.10,-2.9131,140.07,-0.1997,10.00,-0.1997,-0.0200,5.00,-3.1127
10.6,3,139.57,172.61,1094.96,-2.9330,135.07,-0.1797,10.00,-0.1797,-0.0180,5.00,-3.1127
10.7,3,138.97,167.61,1094.82,-2.9510,130.07,-0.1617,10.00,-0.1617,-0.0162,5.00,-3.1127
10.8,3,138.37,162.61,1094.67,-2.9672,125.07,-0.1455,10.00,-0.1455,-0.0146,5.00,-3.1127
10.9,3,137.77,157.62,1094.53,-2.9817,120.07,-0.1310,10.00,-0.1310,-0.0131,5.00,-3.1127
11.0,3,137.16,152.62,1094.38,-2.9948,115.07,-0.1179,10.00,-0.1179,-0.0118,5.00,-3.1127
11.1,3,136.56,147.62,1094.24,-3.0066,110.07,-0.1061,10.00,-0.1061,-0.0106,5.00,-3.1127
11.2,3,135.96,142.62,1094.09,-3.0172,105.07,-0.0955,10.00,-0.0955,-0.0095,5.00,-3.1127
11.3,3,135.36,137.63,1093.95,-3.0268,100.07,-0.0859,10.00,-0.0859,-0.0086,5.00,-3.1127
11.4,3,134.76,132.63,1093.81,-3.0354,95.07,-0.0773,10.00,-0.0773,-0.0077,5.00,-3.1127
11.5,3,134.16,127.63,1093.66,-3.0431,90.07,-0.0696,10.00,-0.0696,-0.0070,5.00,-3.1127
11.6,3,133.56,122.63,1093.52,-3.0501,85.07,-0.0627,10.00,-0.0627,-0.0063,5.00,-3.1127
11.7,3,132.95,117.63,1093.37,-3.0563,80.07,-0.0564,10.00,-0.0564,-0.0056,5.00,-3.1127
11.8,3,132.35,112.64,1093.23,-3.0620,75.07,-0.0507,10.00,-0.0507,-0.0051,5.00,-3.1127
11.9,3,131.75,107.64,1093.08,-3.0671,70.07,-0.0457,10.00,-0.0457,-0.0046,5.00,-3.1127
12.0,3,131.15,102.64,1092.94,-3.0716,65.07,-0.0411,10.00,-0.0411,-0.0041,5.00,-3.1127
12.1,3,130.55,97.64,1092.80,-3.0757,60.07,-0.0370,10.00,-0.0370,-0.0037,5.00,-3.1127
12.2,3,129.95,92.64,1092.65,-3.0794,55.07,-0.0333,10.00,-0.0333,-0.0033,5.00,-3.1127
12.3,3,129.35,87.65,1092.51,-3.0828,50.07,-0.0300,10.00,-0.0300,-0.0030,5.00,-3.1127
12.4,3,128.75,82.65,1092.36,-3.0858,45.07,-0.0270,10.00,-0.0270,-0.0027,5.00,-3.1127
12.5,3,128.15,77.65,1092.22,-3.0885,40.07,-0.0243,10.00,-0.0243,-0.0024,5.00,-3.1127
12.6,3,127.55,72.65,1092.07,-3.0909,35.07,-0.0218,10.00,-0.0218,-0.0022,5.00,-3.1127
12.7,3,126.95,67.65,1091.93,-3.0931,30.07,-0.0197,10.00,-0.0197,-0.0020,5.00,-3.1127
12.8,3,126.35,62.66,1091.79,-3.0950,25.07,-0.0177,10.00,-0.0177,-0.0018,5.00,-3.1127
12.9,3,125.75,57.66,1091.64,-3.0968,20.07,-0.0159,10.00,-0.0159,-0.0016,5.00,-3.1127
13.0,3,125.15,52.66,1091.50,-3.0984,15.07,-0.0143,10.00,-0.0143,-0.0014,5.00,-3.1127
13.1,3,170.55,47.66,1091.35,-3.0998,10.07,-0.0129,10.00,-0.0129,-0.0013,5.00,-3.1127
13.2,3,169.95,42.66,1091.21,-3.1011,-1.00,nan,10.00,3.1011,0.1500,5.00,-3.1127
13.3,3,169.32,47.66,1091.21,-2.9511,-1.00,nan,10.00,2.9511,0.1500,5.00,0.0000
13.4,3,168.70,52.66,1091.21,-2.8011,-1.00,nan,10.00,2.8011,0.1500,5.00,0.0000
13.5,3,168.08,57.66,1091.21,-2.6511,-1.00,nan,9.00,-0.0105,-0.1100,5.00,0.0000
13.6,3,167.51,53.67,1089.13,-2.7611,-1.00,nan,10.00,2.7611,0.1500,4.50,-2.6616
13.7,3,166.88,58.67,1089.13,-2.6111,-1.00,nan,9.00,-0.0156,-0.1100,5.00,0.0000
13.8,3,166.32,54.76,1086.92,-2.7211,-1.00,nan,10.00,2.7211,0.1500,4.50,-2.6267
13.9,3,165.69,59.76,1086.92,-2.5711,-1.00,nan,9.00,-0.0207,-0.1100,5.00,0.0000
14.0,3,165.13,55.92,1084.56,-2.6811,-1.00,nan,9.00,-0.0232,-0.1100,4.50,-2.5918
14.1,3,164.56,51.84,1082.66,-2.7911,-1.00,nan,10.00,2.7911,0.1500,4.50,-2.7043
14.2,3,163.93,56.84,1082.66,-2.6411,-1.00,nan,9.00,-0.0282,-0.1100,5.00,0.0000
14.3,3,163.37,52.84,1080.61,-2.7511,-1.00,nan,10.00,2.7511,0.1500,4.50,-2.6693
14.4,3,162.74,57.84,1080.61,-2.6011,-1.00,nan,9.00,-0.0332,-0.1100,5.00,0.0000
14.5,3,162.18,53.90,1078.42,-2.7111,-1.00,nan,10.00,2.7111,0.1500,4.50,-2.6343
14.6,3,161.55,58.90,1078.42,-2.5611,-1.00,nan,9.00,-0.0381,-0.1100,5.00,0.0000
14.7,3,160.98,55.05,1076.10,-2.6711,-1.00,nan,9.00,-0.0406,-0.1100,4.50,-2.5993
14.8,3,160.42,50.96,1074.23,-2.7811,-1.00,nan,10.00,2.7811,0.1500,4.50,-2.7117
14.9,3,159.79,55.96,1074.23,-2.6311,-1.00,nan,9.00,-0.0455,-0.1100,5.00,0.0000
15.0,3,159.23,51.94,1072.21,-2.7411,-1.00,nan,10.00,2.7411,0.1500,4.50,-2.6766
15.1,3,158.60,56.94,1072.21,-2.5911,-1.00,nan,9.00,-0.0503,-0.1100,5.00,0.0000
15.2,3,158.03,52.99,1070.05,-2.7011,-1.00,nan,10.00,2.7011,0.1500,4.50,-2.6414
15.3,3,157.41,57.99,1070.05,-2.5511,-1.00,nan,9.00,-0.0551,-0.1100,5.00,0.0000
15.4,3,156.84,54.12,1067.76,-2.6611,-1.00,nan,10.00,2.6611,0.1500,4.50,-2.6062
15.5,3,156.22,59.12,1067.76,-2.5111,-1.00,nan,9.00,-0.0598,-0.1100,5.00,0.0000
15.6,3,155.65,55.33,1065.32,-2.6211,-1.00,nan,9.00,-0.0621,-0.1100,4.50,-2.5709
15.7,3,155.08,51.29,1063.33,-2.7311,-1.00,nan,10.00,2.7311,0.1500,4.50,-2.6833
15.8,3,154.46,56.29,1063.33,-2.5811,-1.00,nan,9.00,-0.0667,-0.1100,5.00,0.0000
15.9,3,153.89,52.33,1061.20,-2.6911,-1.00,nan,10.00,2.6911,0.1500,4.50,-2.6479
16.0,3,153.27,57.33,1061.20,-2.5411,-1.00,nan,9.00,-0.0713,-0.1100,5.00,0.0000
16.1,3,152.70,53.45,1058.93,-2.6511,-1.00,nan,10.00,2.6511,0.1500,4.50,-2.6124
16.2,3,152.08,58.45,1058.93,-2.5011,-1.00,nan,9.00,-0.0757,-0.1100,5.00,0.0000
16.3,3,151.51,54.65,1056.52,-2.6111,-1.00,nan,10.00,2.6111,0.1500,4.50,-2.5768
16.4,3,150.89,59.65,1056.52,-2.4611,-1.00,nan,9.00,-0.0801,-0.1100,5.00,0.0000
16.5,3,150.32,55.93,1053.98,-2.5711,-1.00,nan,9.00,-0.0822,-0.1100,4.50,-2.5412
16.6,3,149.75,51.96,1051.87,-2.6811,-1.00,nan,10.00,2.6811,0.1500,4.50,-2.6533
16.7,3,149.13,56.96,1051.87,-2.5311,-1.00,nan,9.00,-0.0864,-0.1100,5.00,0.0000
16.8,3,148.56,53.06,1049.62,-2.6411,-1.00,nan,10.00,2.6411,0.1500,4.50,-2.6176
16.9,3,147.94,58.06,1049.62,-2.4911,-1.00,nan,9.00,-0.0906,-0.1100,5.00,0.0000
17.0,3,147.37,54.25,1047.23,-2.6011,-1.00,nan,10.00,2.6011,0.1500,4.50,-2.5817
17.1,3,146.74,59.25,1047.23,-2.4511,-1.00,nan,9.00,-0.0946,-0.1100,5.00,0.0000
17.2,3,146.18,55.52,1044.70,-2.5611,-1.00,nan,9.00,-0.0965,-0.1100,4.50,-2.5457
17.3,3,145.61,51.54,1042.61,-2.6711,-1.00,nan,10.00,2.6711,0.1500,4.50,-2.6577
17.4,3,144.98,56.54,1042.61,-2.5211,-1.00,nan,9.00,-0.1004,-0.1100,5.00,0.0000
17.5,3,144.42,52.64,1040.37,-2.6311,-1.00,nan,10.00,2.6311,0.1500,4.50,-2.6215
17.6,3,143.79,57.64,1040.37,-2.4811,-1.00,nan,9.00,-0.1041,-0.1100,5.00,0.0000
17.7,3,143.23,53.23,1039.44,-2.5911,-1.00,nan,10.00,2.5911,0.1500,4.50,-2.9343
17.8,3,142.60,58.23,1039.44,-2.4411,-1.00,nan,9.00,-0.1077,-0.1100,5.00,0.0000
17.9,3,142.03,53.74,1039.13,-2.5511,-1.00,nan,10.00,2.5511,0.1500,4.50,-3.0724
18.0,3,141.41,58.74,1039.13,-2.4011,-1.00,nan,5.33,-2.3113,-0.1500,5.00,0.0000
18.1,3,141.02,58.74,1041.80,-2.5511,-1.00,nan,9.00,1.0871,0.1100,2.66,1.5708
18.2,3,140.45,62.48,1039.29,-2.4411,-1.00,nan,5.49,-2.2713,-0.1500,4.50,-0.5914
18.3,3,140.05,62.48,1042.03,-2.5911,-1.00,nan,8.23,-2.1213,-0.1500,2.74,1.5708
18.4,3,139.52,62.48,1046.15,-2.7411,-1.00,nan,9.00,1.0822,0.1100,4.11,1.5708
18.5,3,138.95,62.08,1041.66,-2.6311,-1.00,nan,7.86,-2.0813,-0.1500,4.50,-1.6589
18.6,3,138.43,62.08,1045.59,-2.7811,-1.00,nan,9.00,1.0791,0.1100,3.93,1.5708
18.7,3,137.87,61.49,1041.13,-2.6711,-1.00,nan,7.33,-2.0413,-0.1500,4.50,-1.7020
18.8,3,137.38,61.49,1044.80,-2.8211,-1.00,nan,9.00,1.0762,0.1100,3.67,1.5708
18.9,3,136.81,60.72,1040.37,-2.7111,-1.00,nan,9.00,1.0748,0.1100,4.50,-1.7450
19.0,3,136.24,56.39,1039.11,-2.6011,-1.00,nan,9.00,1.0734,0.1100,4.50,-2.8581
19.1,3,135.67,51.90,1038.91,-2.4911,-1.00,nan,10.00,2.4911,0.1500,4.50,-3.0986
19.2,3,135.05,56.90,1038.91,-2.3411,-1.00,nan,9.00,1.0707,0.1100,5.00,0.0000
19.3,3,134.48,61.36,1039.48,-2.2311,-1.00,nan,5.68,-2.4813,-0.1500,4.50,0.1258
19.4,3,134.08,61.36,1042.32,-2.3811,-1.00,nan,8.51,-2.3313,-0.1500,2.84,1.5708
19.5,3,133.53,61.36,1046.57,-2.5311,-1.00,nan,9.00,1.0670,0.1100,4.26,1.5708
19.6,3,132.96,61.84,1042.10,-2.4211,-1.00,nan,8.30,-2.2913,-0.1500,4.50,-1.4641
19.7,3,132.42,61.84,1046.25,-2.5711,-1.00,nan,9.00,1.0647,0.1100,4.15,1.5708
19.8,3,131.85,62.13,1041.76,-2.4611,-1.00,nan,7.95,-2.2513,-0.1500,4.50,-1.5064
19.9,3,131.33,62.13,1045.73,-2.6111,-1.00,nan,9.00,1.0626,0.1100,3.98,1.5708
20.0,3,130.76,62.23,1041.23,-2.5011,-1.00,nan,7.43,-2.2113,-0.1500,4.50,-1.5485
20.1,3,130.27,62.23,1044.95,-2.6511,-1.00,nan,9.00,1.0606,0.1100,3.72,1.5708
20.2,3,129.70,62.14,1040.45,-2.5411,-1.00,nan,6.65,-2.1713,-0.1500,4.50,-1.5905
20.3,3,129.24,62.14,1043.77,-2.6911,-1.00,nan,9.00,1.0588,0.1100,3.32,1.5708
20.4,3,128.68,61.87,1039.28,-2.5811,-1.00,nan,5.48,-2.1313,-0.1500,4.50,-1.6323
20.5,3,128.28,61.87,1042.02,-2.7311,-1.00,nan,9.00,1.0572,0.1100,2.74,1.5708
20.6,3,127.71,58.63,1038.89,-2.6211,-1.00,nan,9.00,1.0564,0.1100,4.50,-2.3721
20.7,3,127.14,54.13,1038.86,-2.5111,-1.00,nan,10.00,2.5111,0.1500,4.50,-3.1355
20.8,3,126.52,59.13,1038.86,-2.3611,-1.00,nan,5.06,-2.3513,-0.1500,5.00,0.0000
20.9,3,126.14,59.13,1041.39,-2.5111,-1.00,nan,9.00,1.0544,0.1100,2.53,1.5708
21.0,3,125.58,62.89,1038.91,-2.4011,-1.00,nan,5.11,-2.3113,-0.1500,4.50,-0.5841
21.1,3,125.20,62.89,1041.46,-2.5511,-1.00,nan,7.66,-2.1613,-0.1500,2.55,1.5708
21.2,3,124.69,62.89,1045.30,-2.7011,-1.00,nan,9.00,1.0527,0.1100,3.83,1.5708
21.3,3,124.12,62.54,1040.81,-2.5911,-1.00,nan,7.01,-2.1213,-0.1500,4.50,-1.6484
21.4,3,123.65,62.54,1044.31,-2.7411,-1.00,nan,9.00,1.0519,0.1100,3.50,1.5708
21.5,3,123.08,62.01,1039.84,-2.6311,-1.00,nan,6.04,-2.0813,-0.1500,4.50,-1.6893
21.6,3,122.65,62.01,1042.86,-2.7811,-1.00,nan,9.00,1.0511,0.1100,3.02,1.5708
21.7,3,122.09,59.82,1038.93,-2.6711,-1.00,nan,9.00,1.0509,0.1100,4.50,-2.0790
21.8,3,121.52,55.32,1039.16,-2.5611,-1.00,nan,9.00,1.0506,0.1100,4.50,3.0921
21.9,3,120.95,51.57,1036.67,-2.4511,-1.00,nan,10.00,2.4511,0.1500,4.50,-2.5577
22.0,3,120.33,55.90,1039.17,-2.3011,-1.00,nan,9.00,1.0502,0.1100,5.00,0.5236
22.1,3,119.76,60.40,1039.04,-2.1911,-1.00,nan,5.24,-2.5213,-0.1500,4.50,-0.0292
22.2,3,119.37,60.40,1041.66,-2.3411,-1.00,nan,7.86,-2.3713,-0.1500,2.62,1.5708
22.3,3,118.86,60.40,1045.59,-2.4911,-1.00,nan,9.00,1.0500,0.1100,3.93,1.5708
22.4,3,118.29,60.98,1041.13,-2.3811,-1.00,nan,7.33,-2.3313,-0.1500,4.50,-1.4411
22.5,3,117.80,60.98,1044.80,-2.5311,-1.00,nan,9.00,1.0501,0.1100,3.66,1.5708
22.6,3,117.23,61.38,1040.31,-2.4211,-1.00,nan,6.51,-2.2913,-0.1500,4.50,-1.4811
22.7,3,116.78,61.38,1043.57,-2.5711,-1.00,nan,9.00,1.0503,0.1100,3.25,1.5708
22.8,3,116.22,61.61,1039.07,-2.4611,-1.00,nan,5.27,-2.2513,-0.1500,4.50,-1.5208
22.9,3,115.83,61.61,1041.71,-2.6111,-1.00,nan,7.91,-2.1013,-0.1500,2.64,1.5708
23.0,3,115.31,61.61,1045.66,-2.7611,-1.00,nan,9.00,1.0510,0.1100,3.95,1.5708
23.1,3,114.74,60.98,1041.21,-2.6511,-1.00,nan,9.00,1.0513,0.1100,4.50,-1.7101
23.2,3,114.17,57.02,1039.07,-2.5411,-1.00,nan,9.00,1.0516,0.1100,4.50,-2.6470
23.3,3,113.61,61.51,1039.44,-2.4311,-1.00,nan,5.63,-2.2813,-0.1500,4.50,0.0813
23.4,3,113.20,61.51,1042.25,-2.5811,-1.00,nan,8.45,-2.1313,-0.1500,2.82,1.5708
23.5,3,112.65,61.51,1046.48,-2.7311,-1.00,nan,9.00,1.0530,0.1100,4.22,1.5708
23.6,3,112.09,61.02,1042.00,-2.6211,-1.00,nan,9.00,1.0535,0.1100,4.50,-1.6782
23.7,3,111.52,57.59,1039.10,-2.5111,-1.00,nan,9.00,1.0541,0.1100,4.50,-2.4403
23.8,3,110.95,62.08,1038.82,-2.4011,-1.00,nan,5.02,-2.3113,-0.1500,4.50,-0.0608
